 Far East;Kushiro, Hokkaido;	42.9666666666666; 	144.35; 
 Far East;Mizushima;	34.5166666666666; 	133.75; 
 Far East;Moji;	33.95; 	130.9666667; 
 Far East;Nagoya;	35.0833333333333; 	136.8833333; 
 Far East;Osaka;	34.65; 	135.4333333; 
 Far East;Sakai;	34.5666666666666; 	135.45; 
 Far East;Sakata;	38.9333333333333; 	139.8; 
 Far East;Shimizu;	35; 	138.5; 
 'Tokyo'  is not a country in the system;Tokyo;	35.7166666666666; 	139.7666667; 
 Far East;Tomakomai, Hokkaido;	42.5833333333333; 	141.5833333; 
 Far East;Yokohama;	35.45; 	139.65; 
 Arabia and Persian Gulf;Aqaba (El Akaba);	29.5166666666666; 	35.01666667; 
 Africa;Lamu;	-2.28333333333333; 	40.9; 
 Africa;Mombasa;	-4.06666666666666; 	39.66666667; 
 'Kiribati'  is not a country in the system;Betio (Tarawa);	1.41666666666666; 	172.9; 
 Far East;Chongjin;	41.7666666666666; 	129.8166667; 
 Far East;Haeju;	38; 	125.7; 
 Far East;Nampo;	38.7333333333333; 	125.4166667; 
 Far East;Wonsan;	39.1666666666666; 	127.4333333; 
 Far East;Busan (Pusan);	35.0833333333333; 	129; 
 Far East;Chinhae;	35.1166666666666; 	128.7; 
 Far East;Inchon;	37.4666666666666; 	126.6166667; 
 Far East;Masan;	35.1833333333333; 	128.6; 
 Far East;Mokpo;	34.7666666666666; 	126.3833333; 
 Far East;Pohang;	36.0333333333333; 	129.4333333; 
 Far East;Tonghae;	37.5; 	129.15; 
 Far East;Ulsan;	35.45; 	129.3833333; 
 Far East;Yosu (Yeosu);	34.7333333333333; 	127.75; 
 Arabia and Persian Gulf;Mina al Ahmadi;	29.0666666666666; 	48.16666667; 
 Arabia and Persian Gulf;Mina Saud;	28.75; 	48.4; 
 Arabia and Persian Gulf;Shuwaikh;	29.35; 	47.93333333; 
 Europe;Liepaja;	56.5; 	21;
 Europe;Riga;	56.9666666666666; 	24.1;
 Europe;Ventspils;	57.4; 	21.55;
 Europe;Beirut;	33.9; 	35.5; 
 ''is not a country in the system;Chekka;	34.3; 	35.6;
 Europe;Selaata;	34.2833333333333; 	35.66666667; 
 Europe;Sidon;	33.5; 	35.35; 
 Europe;Tripoli;	34.4666666666666; 	35.81666667; 
 Africa;Buchanan;	5.9; 	-10.06666667; 
 Africa;Greenville;	4.98333333333333; 	-9.05; 
 Africa;Monrovia;	6.33333333333333; 	-10.83333333; 
 Africa;Bingazi (Benghazi);	32.1; 	20.05; 
